tag,categoria,processos_origem,descricao,quantidade_eventos,porcentagem_total
authgraph-hal-nonsecure,Gestão de Usuários e Acesso,pid:694,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",3,0.01%
RemoteAccessImpl,Outros / Serviços Gerais do SO,pid:666,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
perfetto,Outros / Serviços Gerais do SO,"pid:753 (66.7%), pid:756 (33.3%)",Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
mediaserver,Outros / Serviços Gerais do SO,pid:765,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
EffectsFactoryHalAidl,Outros / Serviços Gerais do SO,audioserver,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
AHAL_SoundDose,Outros / Serviços Gerais do SO,android.hardware.audio.service,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
android.hardware.pixel.camera.provider@2.7-service,Outros / Serviços Gerais do SO,pid:714,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
AHAL_StreamRemoteSubmix,Outros / Serviços Gerais do SO,android.hardware.audio.service,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
LogicalDisplay,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
ApkLiteParseUtils,Subssistema Automotivo (AAOS),system_server,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",3,0.01%
CpuMonitorService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
PccSandboxManagerInternal,Subssistema Automotivo (AAOS),system_server,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",3,0.01%
InputReaderBase,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
Nl80211Native,Rede e Conexões,system_server,"Roteamento de rede (netd), DNS (resolv), regras de iptables e conexões de depuração (adbd).",3,0.01%
WakeupController,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
WiredAccessoryManager,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
UsbDeviceManagerJNI,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
AS.SpatializerHelper,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
HandoffPreferenceStore,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",3,0.01%
InternalEnumerateClient,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
BiometricLogger,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
BatteryExternalStatsWorker,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
DisplayPowerController,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
WifiNative,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
WifiActiveModeWarden,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
UwbContext,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
VcnManagementService,Subssistema Automotivo (AAOS),system_server,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",3,0.01%
AdbSettingsObserver,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
NetworkStatsObservers,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
NotificationService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
CAR.VmsHalService,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",3,0.01%
C2SoftApvDec,Outros / Serviços Gerais do SO,mediaswcodec,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
WebViewZygoteInit,Outros / Serviços Gerais do SO,webview_zygote,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
C2SoftApvEnc,Outros / Serviços Gerais do SO,mediaswcodec,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
CAR.DIAGNOSTIC,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",3,0.01%
uc_finish_user_boot,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",3,0.01%
DocumentManagerRoleBehavior,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
car_pwr_mgr_pwr_policy_change,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",3,0.01%
CAR.WatchdogStorage,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",3,0.01%
CarWatchdogService,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",3,0.01%
CarServiceProxy,Subssistema Automotivo (AAOS),system_server,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",3,0.01%
CAR.TELEMETRY,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",3,0.01%
CarActivityInterceptorUpdatableImpl,Subssistema Automotivo (AAOS),system_server,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",3,0.01%
PowerStatsCollector,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
android.hardware.secure_element-service.example,Outros / Serviços Gerais do SO,pid:693,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
SecureElement-AccessControlEnforcer,Outros / Serviços Gerais do SO,com.android.se,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
CarrierProvider,Subssistema Automotivo (AAOS),com.android.phone,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",3,0.01%
TelecomFramework,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",3,0.01%
AppCompat,Outros / Serviços Gerais do SO,com.android.systemui,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
BarControlPolicy,Outros / Serviços Gerais do SO,com.android.systemui,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
UserTrackerImpl,Gestão de Usuários e Acesso,com.android.systemui,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",3,0.01%
UwbServiceImpl,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",3,0.01%
DeviceLockControllerService,Outros / Serviços Gerais do SO,com.android.devicelockcontroller,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
SharedConnectivityManager,Outros / Serviços Gerais do SO,com.android.systemui,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
PhoneNumberManagerService,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
RILUtils,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
SDMGR,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
TelephonyAdminReceiver,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
SmsDispatchersController,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
KeyguardWakeDirectlyToGoneInteractor,Gestão de Usuários e Acesso,com.android.systemui,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",3,0.01%
ANM-0,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
UserSwitchTransition,Gestão de Usuários e Acesso,com.android.systemui,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",3,0.01%
ServiceStateProvider,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
IntentBroadcaster,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
SimLog,Outros / Serviços Gerais do SO,com.android.systemui,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
wm_dim_cancel_anim,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
wm_dim_animate,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
BluetoothServiceJni,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
BluetoothActiveDeviceManager,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
BtScan.ScanController,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
bt_btm_ble,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
WifiDialogManager,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",3,0.01%
A2dpService,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
AvrcpTargetService,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
MediaSessionCompat,Outros / Serviços Gerais do SO,"com.android.bluetooth (66.7%), com.android.car.radio (33.3%)",Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
BluetoothMediaBrowserService,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
alsa_device_proxy,Outros / Serviços Gerais do SO,android.hardware.audio.service,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
HibernationStateDiskStore,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
uc_finish_user_unlocking,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",3,0.01%
ONS,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
pmgd,Outros / Serviços Gerais do SO,pid:3803,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
SmsBroadcastUndelivered,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
wm_on_top_resumed_lost_called,Subssistema Automotivo (AAOS),"com.android.car.settings (33.3%), com.android.car.carlauncher (33.3%), com.android.car.mapsplaceholder (33.3%)","Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",3,0.01%
DevicePolicyControllerImpl,Outros / Serviços Gerais do SO,com.android.devicelockcontroller,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
MediaBrowserConnector,Outros / Serviços Gerais do SO,"com.android.car.carlauncher (66.7%), com.android.car.media (33.3%)",Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
MediaBrowserCompat,Outros / Serviços Gerais do SO,"com.android.car.carlauncher (66.7%), com.android.car.media (33.3%)",Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
DisplayTransformManager,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
wm_on_destroy_called,Subssistema Automotivo (AAOS),"com.android.car.provision (33.3%), com.android.car.settings (33.3%), com.android.car.mapsplaceholder (33.3%)","Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",3,0.01%
surfaceview_layout,Subssistema Automotivo (AAOS),"com.android.car.carlauncher (66.7%), android.car.cluster (33.3%)","Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",3,0.01%
SplashScreenView,Outros / Serviços Gerais do SO,com.android.systemui,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
CD.BtMonitor,Outros / Serviços Gerais do SO,com.android.car.dialer,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
WM-WrkMgrInitializer,Outros / Serviços Gerais do SO,"com.android.statementservice (66.7%), com.android.rkpdapp (33.3%)",Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
CTC.InMemoryPhoneBook,Outros / Serviços Gerais do SO,android.car.cluster,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
Glide,Outros / Serviços Gerais do SO,android.car.cluster,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
WM-DelayedWorkTracker,Outros / Serviços Gerais do SO,com.android.providers.media.module,Eventos não categorizados em nenhuma categoria anterior.,3,0.01%
DMI,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
kvm-clock,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
pcpu-alloc,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
smp,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
ramoops,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
pstore,Integridade e Estabilidade,servicemanager,"Encerramento forçado de processos, ANR, tombstone de crashes e LowMemoryKiller (PSI).",2,0.00%
acpi PNP0A08,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
iommu,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
VFS,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
pnp,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
pcieport 0000,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
wireguard,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
sdhci,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
cfg80211,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
[drm] features,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
virtio_blk virtio26,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
virtio_blk virtio27,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
virtio_blk virtio28,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
hub 1-0,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
cardisplayproxyd,Subssistema Automotivo (AAOS),pid:421,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",2,0.00%
virtio-fs,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
MacsecPskPlugin,Outros / Serviços Gerais do SO,pid:457,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
android.hardware.boot-service.default,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
hub 2-0,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
hub 3-0,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
android.system.suspend-service,Outros / Serviços Gerais do SO,pid:454,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
fscrypt,Criptografia e Chaves,servicemanager,"Keystore2, KeyMint, File-Based Encryption (FBE) e montagem de storage (vold).",2,0.00%
rename_netiface,Outros / Serviços Gerais do SO,pid:626,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
BpfLoader,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
netdClient,Rede e Conexões,netd,"Roteamento de rede (netd), DNS (resolv), regras de iptables e conexões de depuração (adbd).",2,0.00%
NetdUpdatable,Rede e Conexões,netd,"Roteamento de rede (netd), DNS (resolv), regras de iptables e conexões de depuração (adbd).",2,0.00%
kcmdlinectrl,Outros / Serviços Gerais do SO,"pid:640 (50.0%), pid:752 (50.0%)",Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
statsd,Outros / Serviços Gerais do SO,pid:638,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
CanController,Outros / Serviços Gerais do SO,pid:655,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
android.hardware.automotive.occupant_awareness@1.0-service,Outros / Serviços Gerais do SO,pid:656,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
android.hardware.health-service.automotive,Outros / Serviços Gerais do SO,pid:657,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
IvnAndroidDeviceImpl,Outros / Serviços Gerais do SO,pid:663,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
ShimDeviceManager,Outros / Serviços Gerais do SO,pid:690,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
flags_health_check,Outros / Serviços Gerais do SO,pid:788,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
usbd,Outros / Serviços Gerais do SO,pid:777,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
AudioAnalytics,Outros / Serviços Gerais do SO,pid:764,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
gatekeeperd,Outros / Serviços Gerais do SO,pid:773,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
AHAL_Config,Outros / Serviços Gerais do SO,android.hardware.audio.service,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
AHAL_Telephony,Outros / Serviços Gerais do SO,android.hardware.audio.service,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
apex_update_listener,Outros / Serviços Gerais do SO,pid:714,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
MediaExtractorFactory,Outros / Serviços Gerais do SO,mediaextractor,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
AudioPolicyEffects,Outros / Serviços Gerais do SO,audioserver,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
Typeface,Outros / Serviços Gerais do SO,zygote64,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
SystemFonts,Outros / Serviços Gerais do SO,"zygote64 (50.0%), system_server (50.0%)",Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
ActivityRecognitionHardware,Outros / Serviços Gerais do SO,"zygote64 (50.0%), system_server (50.0%)",Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
VibratorInfo,Outros / Serviços Gerais do SO,"zygote64 (50.0%), system_server (50.0%)",Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
OverlayConfig,Outros / Serviços Gerais do SO,"zygote64 (50.0%), system_server (50.0%)",Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
ApexManagerTiming,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
PowerProfile,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
PowerHalLoader,Outros / Serviços Gerais do SO,"system_server (50.0%), pid:724 (50.0%)",Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
PluginManager,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
AccessPersistence,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",2,0.00%
preloads_copy,Outros / Serviços Gerais do SO,"pid:2523 (50.0%), pid:2525 (50.0%)",Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
storaged,Outros / Serviços Gerais do SO,pid:766,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
HealthServiceWrapperAidl,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
DeviceStateManagerService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
DesktopModeFlags,Outros / Serviços Gerais do SO,"system_server (50.0%), com.android.systemui (50.0%)",Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
ProtoLogImpl,Outros / Serviços Gerais do SO,"system_server (50.0%), com.android.systemui (50.0%)",Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
SyncManager,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",2,0.00%
WatchlistLoggingHandler,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
RolesPersistenceImpl,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
RoleServicePlatformHelperImpl,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
OemLock,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
DevicePolicyManagerService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
RcsArchivalAppTracker,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",2,0.00%
NetworkStatsServiceInitializer,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
ScanMetrics,Subssistema Automotivo (AAOS),system_server,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",2,0.00%
HwBinder,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
HwNoService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
NearbyService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
ConnectivityServiceInitializerB,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
TimeCheck,Outros / Serviços Gerais do SO,audioserver,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
PowerManagerService,Outros / Serviços Gerais do SO,system_server,"Gerenciamento de estados de energia, wake locks e tela",2,0.00%
BcRadioAidlSrv,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
BcRadioAidlDef,Outros / Serviços Gerais do SO,pid:660,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
CDM_ObservableUuidStore,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",2,0.00%
FingerprintService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
FaceService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
android.hardware.biometrics.fingerprint-service.default,Outros / Serviços Gerais do SO,VirtualHalConfig,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
Sensor,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",2,0.00%
SignalCollectorService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
AnomalyDetectorController,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
KeyguardServiceDelegate,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",2,0.00%
AppIdleHistory,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",2,0.00%
VibratorManagerService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
WifiApConfigStore,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
WifiController,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
Nl80211BroadcastMonitor,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
thermal_changed,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
InputProcessor,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
PermissionService,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",2,0.00%
ssioncontroller,Outros / Serviços Gerais do SO,com.android.permissioncontroller,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
OmxInfoBuilder,Outros / Serviços Gerais do SO,"pid:2987 (50.0%), pid:3918 (50.0%)",Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
WebViewLoader-x,Outros / Serviços Gerais do SO,WebViewLoader,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
NetworkPolicy,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
com.android.car,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",2,0.00%
TelecomLoaderService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
am_proc_died,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
GnssJni,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
CAR.SERVICE,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",2,0.00%
CarOemProxyService,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",2,0.00%
GnssPsdsAidl,Outros / Serviços Gerais do SO,pid:683,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
GnssGeofenceAidl,Outros / Serviços Gerais do SO,pid:683,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
AGnssRilAidl,Outros / Serviços Gerais do SO,pid:683,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
MeasurementCorrectionsInterface,Outros / Serviços Gerais do SO,pid:683,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
MeasurementCorrectionsCbJni,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
GnssPowerIndicationAidl,Outros / Serviços Gerais do SO,pid:683,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
GnssLocationProviderJni,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
GnssAssistanceInterfaceAidl,Outros / Serviços Gerais do SO,pid:683,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
GnssAntennaInfoAidl,Outros / Serviços Gerais do SO,pid:683,Eventos não categorizados em nenhuma categoria anterior.,2,0.00%
